SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
243,Besharam,95.1,59.87,80.83,14.27,83,Flop
244,Malang,80,59.84,70,10,50,Above Average
245,Shootout at Wadala,83.7,58.65,79.18,4.52,45,Above Average
246,Mere Brother Ki Dulhan,94.1,58.4,78.84,15.26,28,Hit
247,Mohenjo Daro,107.9,58.23,78.61,29.29,120,Flop
248,Action Jackson,88.8,57.78,78.01,10.79,80,Flop
249,Mary Kom,91.33,56.3,76.05,15.28,30,Hit
250,12th Fail,70.05,56.24,66.55,3.5,1,SuperHit
251,Haider,79.2,55.93,75.51,3.69,45,Above Average
252,Jodhaa Akbar,106.68,55.91,75.48,31.2,45,Above Average
253,Mubarakan,93.24,55.48,76.88,16.36,63,Flop
254,Once Upon a Time in Mumbaai,85.2,55.46,74.87,10.33,36,Hit
255,Jaane Tu... Ya Jaane Na,82.1,55.36,74.73,7.37,15,SuperHit
256,Yamla Pagla Deewana,88.55,55.12,74.41,14.14,28,Hit
257,Kabhi Khushi Kabhie Gham,119.29,54.86,77.29,42,40,Blockbuster
258,Boss,84.83,54.33,73.34,11.49,70,Flop
259,Phantom,84.4,54.24,73.22,11.18,70,Flop
260,Jagga Jasoos,83.35,54.16,75.22,8.13,125,Flop
261,Maidaan,71.72,53.54,63.97,7.75,1,None
262,Metro... In Dino,69.68,53.37,63.68,6,1,None
263,Dilwale Dulhania Le Jayenge,102.5,53.32,89,13.5,4,All Time Blockbuster
264,Fast X,5800,53.11,131.7,4600,1,Hit
265,Rang De Basanti,96.9,52.91,74.07,22.83,28,Hit
266,Baaghi 4,77,52.77,62.2,14.8,1,None
267,Heropanti,75.9,52.7,71.14,4.76,25,Hit
268,Spider-Man: No Way Home,15700,52.52,271,9010,1500,SuperHit
269,Hanuman,295.29,52.29,238.29,57,1,Blockbuster
270,Ki & Ka,99.25,52.24,70.52,28.73,30,Hit
271,102 Not Out,115.68,52.15,67,48.68,34,Hit
272,Fanaa,102.86,51.89,70.05,32.81,30,SuperHit
273,Deadpool & Wolverine,11180,51.75,169.25,5880,1,SuperHit
274,Hate Story 3,75.1,51.73,69.82,5.28,20,Hit
275,Delhi Belly,87.6,51.7,69.8,17.8,23,Hit
276,Kahaani,79.2,51.3,69.26,9.94,15,Hit
277,Golmaal Returns,82.04,51.15,69.05,12.99,35,SuperHit
278,Param Sundari,84.09,51.13,61.09,23,1,None
279,Bachchhan Paandey,74.2,51.04,60.2,14,165,Disaster
280,Main Tera Hero,77.25,50.91,68.7,8.55,40,Hit
281,Sachin A Billion Dreams,70.87,50.89,65.15,5.72,39,Average
282,Sachin: A Billion Dreams,70.87,50.89,65.15,5.72,39,Average
283,Mufasa: The Lion King,5725,50.62,177,3705,1,SuperHit
284,Don: The Chase Begins Again,104.64,50.16,67.72,36.92,35,Hit
285,Badlapur,78.9,50.09,67.62,11.28,20,Hit
286,Kis Kisko Pyaar Karoon,72.25,49.98,67.47,4.78,18,Hit
287,Kai Po Che!,74,49.25,66.49,7.51,30,Hit
288,Bhool Bhulaiyaa,82.35,49.11,68.2,14.15,32,SuperHit
289,Kites,87.46,49.09,66.27,21.19,65,Flop
290,Raksha Bandhan,68.38,48.63,57.38,11,70,Below Average
291,De Dana Dan,81.9,48.08,64.9,17,60,Average
292,Srikanth,60.59,48.07,57.09,3.5,1,None
293,Marjaavaan,62,48.04,55.5,6.5,50,Average
294,Murder 2,67.59,47.65,64.33,3.26,13,SuperHit
295,Himmatwala,65.8,47.45,64.05,1.75,68,Flop
296,Mardaani 2,67,47.35,57,10,30,Hit
297,Heyy Babyy,83.9,47.15,63.65,20.25,30,Hit
298,Kambakkht Ishq,85.55,47.06,63.53,22.02,50,Average
299,Son of Sardaar 2,66.01,47.03,56.26,9.75,1,Disaster
300,Koi... Mil Gaya,80.29,46.96,70.43,9.86,28,SuperHit
301,Kuch Kuch Hota Hai,91.09,46.88,63.29,27.8,14,All Time Blockbuster
302,Ragini MMS 2,62.54,46.78,61.74,0.8,18,Hit
303,Thank You,72.05,46.56,62.85,9.2,60,Flop
304,Shuddh Desi Romance,75.2,46.45,62.7,12.5,25,Hit
305,Hichki,236.48,45.82,59,177.48,20,Hit
306,October,67.5,45.6,59,8.5,40,Hit
307,Veer,65.55,45.56,61.5,4.05,55,Below Average
308,Ishaqzaade,61.28,45.39,61.28,0,16,Hit
309,Guru,82.4,45.29,61.14,21.26,22,Hit
310,New York,75.1,45.22,58.78,16.32,22,SuperHit
311,Kyaa Super Kool Hai Hum,64.57,44.92,60.64,3.93,19,Hit
312,Kabhi Alvida Naa Kehna,111.2,44.65,60.28,50.92,45,Average
313,No Entry,73.02,44.57,62.4,10.62,22,SuperHit
314,Roy,56.05,44.56,52.58,3.47,50,Flop
315,KGF: Chapter 1,237.75,44.42,227.75,10,80,Blockbuster
316,ABCD: Any Body Can Dance,61.03,44.31,57.68,3.35,20,Hit
317,Dostana,81.68,44.15,59.6,22.08,40,Average
318,Double Dhamaal,71,44.1,59.54,11.46,30,Hit
319,Kaho Naa... Pyaar Hai,78.93,44.1,73.12,5.81,10,Blockbuster
320,Tumbbad,52.25,44.05,52.25,0,1,Hit
321,Heroine,70.6,43.22,58.35,12.25,35,Average
322,Ek Villain Returns,60,43.21,51,9,72,None
323,Raja Hindustani,76.38,43.2,60.48,15.9,6,All Time Blockbuster
324,Agent Vinod,71.57,43.14,56.89,14.68,55,Flop
325,Shaandaar,73.3,43.1,59.95,13.35,69,Flop
326,I Hate Luv Storys,72.95,42.97,58.01,14.94,24,Hit
327,Romeo Akbar Walter,58,42.85,50.5,7.5,35,Above Average
328,Shubh Mangal Saavdhan,64.06,42.79,59.4,4.66,25,Hit
329,Madras Cafe,66.71,42.47,57.33,9.38,34,Average
330,Desi Boyz,80,42.41,57.25,22.75,54,Flop
331,Veer-Zaara,97,42.4,60,37,22,SuperHit
332,Sanam Teri Kasam,54.2,42.28,51.4,2.8,18,Flop
333,Jannat 2,62.5,42.25,57.05,5.45,23,Hit
334,Vicky Vidya Ka Woh Wala Video,58.21,42.09,49.71,8.5,1,None
335,Mohabbatein,76.91,41.88,56.71,20.2,19,Blockbuster
336,Devdas,90.63,41.67,56.25,34.38,30,Hit
337,All The Best: Fun Begins,58.05,41.41,53.1,4.95,40,Average
338,Kaminey,70.4,41.3,55.75,14.65,33,Above Average
339,Chashme Baddoor,59.07,41.27,55.71,3.36,22,Hit
340,Pagalpanti,51,41.2,47,4,60,Flop
341,Atithi Tum Kab Jaoge?,57,41.11,55.51,1.49,20,Hit
342,Wazir,78.6,41.05,55.42,23.18,35,Average
343,Batti Gul Meter Chalu,58.4,40.88,52.4,6,55,Flop
